#EDL	Date	26.3.2019	Local Time	 3:23:35		
Rate (Hz)	Main array								Hub interface
128	element_1	element_2	element_3	element_4	element_5	element_6	element_7	element_8	element_1
Time	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Digital Outputs
s	m	m	m	m	m	m	m	m	
02:51:35.938	-0.00166736	-0.00076291	-0.00165211	-0.00177929	-0.00183297	-0.00095809	-0.00081619	-0.00117569	0
02:51:35.945	-0.00166736	-0.00076291	-0.00171690	-0.00181050	-0.00176822	-0.00098048	-0.00081619	-0.00120046	0
02:51:35.953	-0.00166736	-0.00079168	-0.00171690	-0.00177929	-0.00176822	-0.00102527	-0.00079677	-0.00120046	0
02:51:35.961	-0.00168994	-0.00070537	-0.00171690	-0.00177929	-0.00170348	-0.00102527	-0.00077735	-0.00115093	0
02:51:35.969	-0.00166736	-0.00076291	-0.00168450	-0.00177929	-0.00170348	-0.00107005	-0.00075792	-0.00115093	0
02:51:35.977	-0.00168994	-0.00067660	-0.00168450	-0.00174808	-0.00170348	-0.00102527	-0.00073850	-0.00117569	0
02:51:35.984	-0.00166736	-0.00064782	-0.00168450	-0.00177929	-0.00167110	-0.00109245	-0.00073850	-0.00115093	0
02:51:35.992	-0.00166736	-0.00064782	-0.00171690	-0.00181050	-0.00163873	-0.00109245	-0.00071908	-0.00110139	0
02:51:36.000	-0.00168994	-0.00064782	-0.00171690	-0.00181050	-0.00160636	-0.00109245	-0.00071908	-0.00112616	0
02:51:36.008	-0.00168994	-0.00067660	-0.00161972	-0.00177929	-0.00160636	-0.00111484	-0.00069966	-0.00117569	0
02:51:36.016	-0.00168994	-0.00064782	-0.00158732	-0.00174808	-0.00157398	-0.00113724	-0.00066081	-0.00110139	0
02:51:36.023	-0.00168994	-0.00061905	-0.00155493	-0.00174808	-0.00154161	-0.00113724	-0.00064139	-0.00110139	0
02:51:36.031	-0.00171251	-0.00059028	-0.00155493	-0.00171687	-0.00154161	-0.00115963	-0.00064139	-0.00110139	0
02:51:36.039	-0.00175767	-0.00064782	-0.00152254	-0.00168566	-0.00150924	-0.00118202	-0.00062197	-0.00110139	0
02:51:36.047	-0.00173509	-0.00059028	-0.00149015	-0.00165445	-0.00150924	-0.00120442	-0.00060255	-0.00107662	0
02:51:36.055	-0.00175767	-0.00067660	-0.00152254	-0.00165445	-0.00147686	-0.00122681	-0.00062197	-0.00105186	0
02:51:36.063	-0.00175767	-0.00061905	-0.00149015	-0.00162324	-0.00141212	-0.00122681	-0.00062197	-0.00107662	0
02:51:36.070	-0.00180282	-0.00064782	-0.00149015	-0.00162324	-0.00141212	-0.00127160	-0.00058312	-0.00100232	0
02:51:36.078	-0.00178025	-0.00061905	-0.00145775	-0.00159203	-0.00141212	-0.00131638	-0.00056370	-0.00102709	0
02:51:36.086	-0.00182540	-0.00067660	-0.00142536	-0.00159203	-0.00134737	-0.00129399	-0.00054428	-0.00102709	0
02:51:36.094	-0.00182540	-0.00064782	-0.00142536	-0.00156082	-0.00134737	-0.00133878	-0.00054428	-0.00100232	0
02:51:36.102	-0.00182540	-0.00067660	-0.00142536	-0.00156082	-0.00131499	-0.00136117	-0.00054428	-0.00095278	0
02:51:36.109	-0.00182540	-0.00067660	-0.00142536	-0.00152961	-0.00128262	-0.00138356	-0.00052486	-0.00097755	0
02:51:36.117	-0.00184798	-0.00067660	-0.00145775	-0.00152961	-0.00125025	-0.00138356	-0.00050543	-0.00095278	0
02:51:36.125	-0.00184798	-0.00064782	-0.00142536	-0.00149840	-0.00125025	-0.00142835	-0.00052486	-0.00092802	0
02:51:36.133	-0.00184798	-0.00070537	-0.00136057	-0.00146719	-0.00121787	-0.00145074	-0.00050543	-0.00090325	0
02:51:36.141	-0.00187056	-0.00067660	-0.00139297	-0.00146719	-0.00121787	-0.00149553	-0.00050543	-0.00090325	0
02:51:36.148	-0.00184798	-0.00070537	-0.00142536	-0.00143598	-0.00118550	-0.00154031	-0.00050543	-0.00085371	0
02:51:36.156	-0.00180282	-0.00070537	-0.00142536	-0.00143598	-0.00115312	-0.00154031	-0.00050543	-0.00082895	0
02:51:36.164	-0.00184798	-0.00070537	-0.00145775	-0.00143598	-0.00115312	-0.00160749	-0.00048601	-0.00085371	0
02:51:36.172	-0.00187056	-0.00067660	-0.00142536	-0.00140477	-0.00112075	-0.00162988	-0.00048601	-0.00087848	0
02:51:36.180	-0.00184798	-0.00070537	-0.00145775	-0.00140477	-0.00112075	-0.00165228	-0.00048601	-0.00085371	0
02:51:36.188	-0.00182540	-0.00070537	-0.00149015	-0.00137356	-0.00115312	-0.00169706	-0.00048601	-0.00085371	0
02:51:36.195	-0.00180282	-0.00073414	-0.00145775	-0.00134235	-0.00112075	-0.00171945	-0.00048601	-0.00082895	0
02:51:36.203	-0.00180282	-0.00076291	-0.00149015	-0.00127993	-0.00112075	-0.00174184	-0.00050543	-0.00085371	0
02:51:36.211	-0.00180282	-0.00073414	-0.00152254	-0.00131114	-0.00115312	-0.00176424	-0.00050543	-0.00080418	0
02:51:36.219	-0.00175767	-0.00073414	-0.00152254	-0.00127993	-0.00115312	-0.00176424	-0.00054428	-0.00082895	0
02:51:36.227	-0.00178025	-0.00076291	-0.00155493	-0.00131114	-0.00112075	-0.00178663	-0.00056370	-0.00082895	0
02:51:36.234	-0.00175767	-0.00073414	-0.00152254	-0.00127993	-0.00108837	-0.00176424	-0.00056370	-0.00080418	0
02:51:36.242	-0.00173509	-0.00070537	-0.00155493	-0.00124872	-0.00115312	-0.00180902	-0.00058312	-0.00080418	0
02:51:36.250	-0.00171251	-0.00073414	-0.00149015	-0.00121750	-0.00112075	-0.00178663	-0.00060255	-0.00080418	0
02:51:36.258	-0.00171251	-0.00073414	-0.00155493	-0.00124872	-0.00112075	-0.00180902	-0.00060255	-0.00077941	0
02:51:36.266	-0.00171251	-0.00073414	-0.00149015	-0.00124872	-0.00115312	-0.00185381	-0.00064139	-0.00077941	0
02:51:36.273	-0.00168994	-0.00073414	-0.00152254	-0.00124872	-0.00115312	-0.00183141	-0.00064139	-0.00080418	0
02:51:36.281	-0.00168994	-0.00073414	-0.00152254	-0.00127993	-0.00115312	-0.00183141	-0.00068023	-0.00080418	0
02:51:36.289	-0.00171251	-0.00076291	-0.00152254	-0.00131114	-0.00121787	-0.00187620	-0.00069966	-0.00077941	0
02:51:36.297	-0.00168994	-0.00070537	-0.00152254	-0.00131114	-0.00121787	-0.00189859	-0.00071908	-0.00075464	0
02:51:36.305	-0.00166736	-0.00070537	-0.00152254	-0.00131114	-0.00121787	-0.00187620	-0.00073850	-0.00077941	0
02:51:36.313	-0.00164478	-0.00073414	-0.00152254	-0.00134235	-0.00121787	-0.00189859	-0.00075792	-0.00072987	0
02:51:36.320	-0.00166736	-0.00076291	-0.00149015	-0.00134235	-0.00121787	-0.00192098	-0.00075792	-0.00075464	0
02:51:36.328	-0.00164478	-0.00076291	-0.00155493	-0.00137356	-0.00128262	-0.00194337	-0.00079677	-0.00075464	0
02:51:36.336	-0.00162221	-0.00079168	-0.00155493	-0.00137356	-0.00125025	-0.00194337	-0.00081619	-0.00072987	0
02:51:36.344	-0.00157705	-0.00079168	-0.00155493	-0.00137356	-0.00128262	-0.00194337	-0.00081619	-0.00072987	0
02:51:36.352	-0.00157705	-0.00079168	-0.00155493	-0.00143598	-0.00131499	-0.00196577	-0.00083561	-0.00072987	0
02:51:36.359	-0.00157705	-0.00079168	-0.00158732	-0.00143598	-0.00131499	-0.00194337	-0.00085504	-0.00072987	0
02:51:36.367	-0.00157705	-0.00084922	-0.00158732	-0.00146719	-0.00128262	-0.00198816	-0.00087446	-0.00070511	0
02:51:36.375	-0.00153190	-0.00084922	-0.00165211	-0.00143598	-0.00131499	-0.00198816	-0.00087446	-0.00068034	0
02:51:36.383	-0.00155447	-0.00087800	-0.00161972	-0.00149840	-0.00128262	-0.00198816	-0.00091330	-0.00072987	0
02:51:36.391	-0.00150932	-0.00087800	-0.00165211	-0.00149840	-0.00128262	-0.00201055	-0.00093272	-0.00068034	0
02:51:36.398	-0.00150932	-0.00087800	-0.00165211	-0.00146719	-0.00131499	-0.00201055	-0.00095215	-0.00068034	0
02:51:36.406	-0.00150932	-0.00093554	-0.00168450	-0.00149840	-0.00125025	-0.00205533	-0.00097157	-0.00068034	0
02:51:36.414	-0.00150932	-0.00093554	-0.00171690	-0.00149840	-0.00128262	-0.00205533	-0.00099099	-0.00072987	0
02:51:36.422	-0.00148674	-0.00090677	-0.00168450	-0.00149840	-0.00131499	-0.00205533	-0.00102984	-0.00068034	0
02:51:36.430	-0.00148674	-0.00093554	-0.00171690	-0.00159203	-0.00125025	-0.00205533	-0.00102984	-0.00072987	0
02:51:36.438	-0.00150932	-0.00093554	-0.00168450	-0.00149840	-0.00128262	-0.00205533	-0.00108810	-0.00068034	0
02:51:36.445	-0.00148674	-0.00096431	-0.00171690	-0.00146719	-0.00128262	-0.00203294	-0.00112695	-0.00070511	0
02:51:36.453	-0.00148674	-0.00096431	-0.00168450	-0.00146719	-0.00125025	-0.00205533	-0.00116579	-0.00072987	0
02:51:36.461	-0.00148674	-0.00096431	-0.00168450	-0.00143598	-0.00125025	-0.00205533	-0.00114637	-0.00075464	0
02:51:36.469	-0.00148674	-0.00096431	-0.00174929	-0.00143598	-0.00125025	-0.00203294	-0.00120464	-0.00075464	0
02:51:36.477	-0.00148674	-0.00099308	-0.00171690	-0.00140477	-0.00121787	-0.00203294	-0.00122406	-0.00072987	0
02:51:36.484	-0.00148674	-0.00099308	-0.00168450	-0.00140477	-0.00118550	-0.00203294	-0.00126290	-0.00077941	0
02:51:36.492	-0.00146417	-0.00099308	-0.00168450	-0.00137356	-0.00121787	-0.00205533	-0.00130175	-0.00075464	0
02:51:36.500	-0.00146417	-0.00096431	-0.00174929	-0.00131114	-0.00121787	-0.00203294	-0.00134059	-0.00077941	0
02:51:36.508	-0.00148674	-0.00099308	-0.00168450	-0.00137356	-0.00118550	-0.00207772	-0.00136001	-0.00080418	0
02:51:36.516	-0.00146417	-0.00102185	-0.00174929	-0.00134235	-0.00115312	-0.00205533	-0.00139886	-0.00077941	0
02:51:36.523	-0.00144159	-0.00102185	-0.00171690	-0.00131114	-0.00118550	-0.00205533	-0.00143770	-0.00080418	0
02:51:36.531	-0.00144159	-0.00099308	-0.00174929	-0.00127993	-0.00115312	-0.00205533	-0.00145713	-0.00077941	0
02:51:36.539	-0.00139643	-0.00102185	-0.00174929	-0.00124872	-0.00118550	-0.00205533	-0.00149597	-0.00080418	0
02:51:36.547	-0.00139643	-0.00102185	-0.00174929	-0.00127993	-0.00115312	-0.00205533	-0.00153481	-0.00080418	0
02:51:36.555	-0.00139643	-0.00099308	-0.00174929	-0.00124872	-0.00115312	-0.00205533	-0.00157366	-0.00077941	0
